id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2021-03-22T05:02:47;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2021-03-21T16:55:29;75071
2;Rhode Island bypassing SQL;2021-03-21T19:50:51;Frozen online streamline;ISSUED;CREDIT_CARD;2021-03-22T11:37:57;68011
3;lime program;2021-03-21T15:05:54;parse Horizontal Shirt;ISSUED;PAYPAL;2021-03-21T15:56:27;82892
4;Buckinghamshire Director Gloves;2021-03-21T19:36:37;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2021-03-21T12:11:38;33894
5;attitude-oriented;2021-03-21T22:04:45;Integration structure;CANCELLED;PAYPAL;2021-03-22T00:12:15;72584
6;Internal Licensed Steel Towels RSS;2021-03-22T04:40:55;Chips;PAID;CREDIT_CARD;2021-03-22T05:36:35;90614
7;Toys Cotton;2021-03-21T21:10:16;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2021-03-21T18:53:40;42722
8;Arizona Barbados Dollar;2021-03-22T05:39:58;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2021-03-22T02:43:26;44406
9;Generic Ethiopian Birr Assurance;2021-03-21T18:08:49;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2021-03-22T02:04:19;93110
10;Concrete;2021-03-22T10:52:35;paradigms system;PAID;CREDIT_CARD;2021-03-21T13:18:47;93817
