id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-03-21T13:14:31;payment unleash Jamaican Dollar;1
2;Rest;2021-03-22T08:31:01;Plains;2
3;Quality Plastic plum;2021-03-21T12:51:23;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-03-22T09:18:35;Architect SSL;4
5;zero tolerance;2021-03-22T06:14:54;user-facing CSS;5
6;ADP Ouguiya;2021-03-22T02:11:22;Garden;6
7;auxiliary;2021-03-22T10:27:22;functionalities Bedfordshire withdrawal;7
8;Data;2021-03-21T13:25:23;Viaduct hybrid;8
9;mesh;2021-03-22T11:51:02;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-03-22T09:49:56;Re-engineered withdrawal Ball;10
