id;placed_date;status;code;invoice_id;customer_id
1;2021-03-22T03:48:21;COMPLETED;Georgia calculate withdrawal;88795;1
2;2021-03-22T03:25:06;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2021-03-21T12:42:14;COMPLETED;real-time;88753;3
4;2021-03-21T20:46:23;COMPLETED;Square Regional;82542;4
5;2021-03-22T02:37:31;PENDING;maroon Decentralized Bike;98183;5
6;2021-03-21T19:01:13;COMPLETED;program;52549;6
7;2021-03-22T09:17:08;COMPLETED;target;30578;7
8;2021-03-22T07:25:14;CANCELLED;input;43284;8
9;2021-03-22T07:51:16;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2021-03-22T08:56:21;COMPLETED;National lavender;4674;10
